symbol,open,high,low,close,volume
AAL,49,49.1,48.47,48.63,11901883
AAPL,145.13,147.16,145.11,146.28,33917635
ADBE,143.75,145.59,143.06,145.41,3383524
AMZN,1002.54,1004.62,998.02,1003.74,2832807
GOOGL,975.5,986.62,974.46,986.09,1524905
MAT,20.22,20.75,20.11,20.68,10603967
MSFT,70.09,71.25,69.92,71.21,26803888
NTES,320,333.78,319,333.56,1356386
